eventID,eventDate,Year,Month,Day,footprintWKT,coordinateUncertaintyInMeters,decimalLatitude,decimalLongitude,geodeticDatum
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn3:trawl,2020-03-15T18:13:00Z,2020,3,15,POINT  ( -136.983333333333   47.4216666666667 ),0,47.42166666666667,-136.98333333333332,WGS84
IYS:GoA2020:Stn4:trawl,2020-03-16T05:19:00Z,2020,3,16,POINT  ( -138.511666666667   47.4 ),0,47.4,-138.51166666666666,WGS84
IYS:GoA2020:Stn4:trawl,2020-03-16T05:19:00Z,2020,3,16,POINT  ( -138.511666666667   47.4 ),0,47.4,-138.51166666666666,WGS84
IYS:GoA2020:Stn4:trawl,2020-03-16T05:19:00Z,2020,3,16,POINT  ( -138.511666666667   47.4 ),0,47.4,-138.51166666666666,WGS84
IYS:GoA2020:Stn4:trawl,2020-03-16T05:19:00Z,2020,3,16,POINT  ( -138.511666666667   47.4 ),0,47.4,-138.51166666666666,WGS84
IYS:GoA2020:Stn4:trawl,2020-03-16T05:19:00Z,2020,3,16,POINT  ( -138.511666666667   47.4 ),0,47.4,-138.51166666666666,WGS84
IYS:GoA2020:Stn4:trawl,2020-03-16T05:19:00Z,2020,3,16,POINT  ( -138.511666666667   47.4 ),0,47.4,-138.51166666666666,WGS84
IYS:GoA2020:Stn4:trawl,2020-03-16T05:19:00Z,2020,3,16,POINT  ( -138.511666666667   47.4 ),0,47.4,-138.51166666666666,WGS84
IYS:GoA2020:Stn4:trawl,2020-03-16T05:19:00Z,2020,3,16,POINT  ( -138.511666666667   47.4 ),0,47.4,-138.51166666666666,WGS84
